南部,中部,北部,東部,離島
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.006867264722983634,0.012284630501348202,0.002037791774731382,0.009575947612165918,0.0
0.0426509676883462,0.03712962539798608,0.016302334197851057,0.03989029654316614,0.01310272536687631
0.13124532768502367,0.06915588867053608,0.0385327899221934,0.10020060817777987,0.040531097134870714
0.17683985380845588,0.13028959675822252,0.0923181425219217,0.1535647252833392,0.07739343116701608
0.43581381343965436,0.2079368706488125,0.16345560083981722,0.3218753420442334,0.12054507337526206
0.2938574632444555,0.1602013923799948,0.14455971347412622,0.22702942781222515,0.2138364779874214
0.13975828557189135,0.21135688496869431,0.10880573051747562,0.17555758527029283,0.28441649196366176
0.4379703463742835,0.13092028091342564,0.07119920958379647,0.28444531364385456,0.31568832983927325
0.34076439073012715,0.09605898572581997,0.0385327899221934,0.21841168822797358,0.2456324248777079
0.2086873909793172,0.07563639687400027,0.016549339261454857,0.14216189392665873,0.18116701607267646
0.09958883628208323,0.01185503404780403,0.004199086081264666,0.05572193516494363,0.0639412997903564
0.0018543898994933135,0.000467681245525037,0.0,0.0011610355725091752,0.0029699510831586303
0.00016820333914776975,5.1795317093978036e-05,0.0,0.0001099993281208739,0.0
0.00016820333914776975,9.140350075407889e-06,0.0,8.867184461158882e-05,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.029015076002990286,0.07065795286626145,0.008583425960232184,0.04983651443462587,0.0013976240391334732
0.19227718249024006,0.27199549076062945,0.057305174756082496,0.23213633662543476,0.03773584905660377
0.4188211230168618,0.4936626906143839,0.151167098925528,0.4562419068156228,0.15059399021663172
0.5643626962372291,0.6412229788400895,0.17543534642460168,0.6027928375386593,0.25733752620545075
0.6559224188055488,0.7361988330819736,0.23243176485117947,0.6960606259437612,0.33647798742138363
0.6991797491486005,0.7789086422009963,0.2983821168333951,0.7390441956747984,0.37823200559049613
0.6875996760528283,0.7662431637798394,0.2488576015808324,0.7269214199163339,0.3806778476589797
0.6282591992690424,0.6994652895205886,0.3769914783253057,0.6638622443948154,0.3502795248078267
0.5122217376858543,0.5794981947808601,0.2780659503519823,0.5458599662333572,0.2859888190076869
0.3439093778553036,0.395909693341255,0.16024453501296776,0.3699095355982793,0.17679944095038436
0.11985733864938951,0.18410036104382801,0.052426824749907376,0.15197884984660875,0.05800139762403913
0.002569773236979815,0.05741663239035388,0.0011115227862171174,0.02999320281366685,0.0015723270440251573
0.0001619735858460005,0.04830979693188916,0.0,0.02423588525886758,0.0
0.0001370545726389235,0.055608366467102356,0.0,0.02787271051987064,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
