南部,中部,北部,東部,離島
0.007407407407407408,0.0018922191946715106,0.03290375651220181,,0.03755868544600939
0.003703703703703704,0.0028004844081138363,0.04250068549492734,,0.03286384976525821
0.007407407407407408,0.0026491068725401153,0.028562288639064067,,0.03286384976525822
0.014814814814814815,0.00015137753557372088,0.03244675989397678,,0.029342723004694832
0.018518518518518517,7.568876778686044e-05,0.029019285257289095,,0.028169014084507043
0.014814814814814815,0.0,0.025134814002376386,,0.022300469483568078
0.018518518518518517,0.00015137753557372088,0.03153276665752673,,0.036384976525821594
0.0,0.0014380865879503482,0.05895256375102824,,0.03755868544600939
0.0,0.004465637299424765,0.028105292020839046,,0.03051643192488263
0.2037037037037037,0.011958825310323946,0.020793346129238645,,0.03169014084507042
0.2925925925925926,0.029518619436875566,0.02056484782012613,,0.025821596244131457
0.2814814814814815,0.023614895549500452,0.021250342747463673,,0.011737089201877934
0.2,0.0145322434150772,0.021935837674801208,,0.002347417840375587
0.2222222222222222,0.03625491976990614,0.04067269902202724,,0.0011737089201877935
0.3074074074074074,0.0801544050862852,0.07129147244310394,,0.008215962441314555
0.4074074074074074,0.14365728125946112,0.05712457727812815,,0.015258215962441316
0.2777777777777778,0.16288222827732363,0.05712457727812815,,0.015258215962441314
0.1111111111111111,0.15917347865576748,0.06649300795174115,,0.018779342723004695
0.018518518518518517,0.10778080532848926,0.05415409925966549,,0.023474178403755867
0.014814814814814815,0.054722979109900094,0.0653505164061786,,0.015258215962441314
0.0,0.02452316076294278,0.060323553605703316,,0.015258215962441314
0.022222222222222223,0.018619436875567667,0.045699661822502506,,0.008215962441314555
0.08518518518518518,0.01044504995458674,0.023535325838588795,,0.011737089201877934
0.0962962962962963,0.00900696336663639,0.020793346129238645,,0.022300469483568078
0.11851851851851852,0.01808961550105964,0.024677817384151358,,0.03169014084507042
0.08888888888888889,0.010142294883439299,0.03404624805776437,,0.044600938967136156
0.43703703703703706,0.01044504995458674,0.031075770039301714,,0.03755868544600939
0.48148148148148145,0.028837420526793823,0.029476281875514116,,0.029342723004694832
0.14444444444444443,0.042082954889494394,0.030618773421076686,,0.041079812206572766
0.15925925925925924,0.04594308204662428,0.028333790329951564,,0.06807511737089203
0.27037037037037037,0.05812897366030881,0.03176126496663925,,0.07746478873239436
0.2222222222222222,0.05888586133817742,0.030161776802851658,,0.06455399061032864
0.4111111111111111,0.03875264910687253,0.024449319075038844,,0.044600938967136156
0.48148148148148145,0.06214047835301241,0.026734302166163973,,0.0528169014084507
0.6444444444444445,0.09688162276718136,0.029704780184626637,,0.045774647887323945
0.4185185185185185,0.08575537390251287,0.05049812631386528,,0.036384976525821594
0.4407407407407407,0.14108386315470783,0.11013618499223106,,0.04812206572769953
0.4407407407407407,0.15440508628519528,0.14281144319532035,,0.057511737089201875
0.45185185185185184,0.10429912201029368,0.12338908692075679,,0.06455399061032864
0.28518518518518515,0.11148955495004541,0.1784571794168723,,0.08920187793427231
0.12222222222222222,0.15448077505298216,0.1597203180696463,,0.06690140845070422
0.018518518518518517,0.12950348168331818,0.10488072388264329,,0.05868544600938967
0.02962962962962963,0.08620950650923402,0.11676263595649392,,0.07511737089201878
0.05925925925925926,0.061837723281864966,0.1348140023763824,,0.06572769953051642
0.1925925925925926,0.03549803209203755,0.1512658806324833,,0.06690140845070422
0.14814814814814814,0.00514683620950651,0.14852390092313317,,0.0715962441314554
0.2222222222222222,0.0,0.17777168448953476,,0.07042253521126761
0.2740740740740741,0.0006811989100817438,0.1889681016360479,,0.07042253521126761
0.2222222222222222,0.0006811989100817438,0.17959967096243487,,0.05985915492957746
0.1851851851851852,0.0012867090523766272,0.1871401151631478,,0.048122065727699524
0.17407407407407408,0.0006055101422948835,0.15880632483319623,,0.06103286384976526
0.0925925925925926,0.00045413260672116256,0.17571519970752217,,0.08215962441314553
0.0925925925925926,0.0007568876778686043,0.1782286811077598,,0.08920187793427231
0.15555555555555556,0.0,0.17891417603509735,,0.062206572769953054
0.18888888888888888,0.00030275507114744176,0.20701946805593638,,0.07276995305164319
0.28888888888888886,0.0,0.2881363677908783,,0.09507042253521127
0.4666666666666667,0.0,0.41312494287542273,,0.08920187793427228
0.6,0.0,0.49195685951923956,,0.07629107981220656
0.45555555555555555,0.00015137753557372088,0.5694177863083814,,0.09272300469483569
0.2592592592592593,0.0011353315168029065,0.627227858513847,,0.1443661971830986
0.17037037037037037,0.006963366636391161,0.6331688145507722,,0.24530516431924881
0.13703703703703704,0.01808961550105964,0.6859519239557628,,0.26173708920187794
0.16666666666666666,0.10581289736603088,0.6557901471529111,,0.2746478873239437
0.15925925925925924,0.2278988798062368,0.5908966273649575,,0.3650234741784038
0.10370370370370371,0.27406902815622164,0.4154099259665479,,0.40962441314553993
0.07407407407407407,0.25772025431425977,0.3605703317795449,,0.3955399061032863
0.2962962962962963,0.24508023009385407,0.33589251439539347,,0.34272300469483563
0.7777777777777778,0.19081138359067512,0.24289370258660087,,0.40492957746478875
0.9407407407407407,0.1288979715410233,0.2659720318069646,,0.4424882629107981
0.9481481481481482,0.07455343627005752,0.4928708527556896,,0.4424882629107982
0.9518518518518518,0.06955797759612473,0.49812631386527745,,0.4284037558685446
0.9851851851851852,0.08469573115349682,0.5657618133625811,,0.46361502347417843
0.8925925925925926,0.08870723584620042,0.5819851933095695,,0.4178403755868545
0.925925925925926,0.10248259158340901,0.5913536239831826,,0.3650234741784038
0.5851851851851853,0.11042991220102938,0.6249428754227219,,0.40375586854460094
0.6037037037037036,0.15985467756584923,0.6027785394388081,,0.40727699530516437
0.8185185185185185,0.23349984862246445,0.509551229320903,,0.3873239436619718
0.6777777777777778,0.27914017559794124,0.3354355177771684,,0.3509389671361503
0.8888888888888888,0.26793823796548594,0.3050452426652043,,0.363849765258216
0.9185185185185184,0.21011201937632457,0.23421076684032535,,0.352112676056338
0.9592592592592594,0.27096578867696036,0.42523535325838585,,0.3497652582159624
0.9111111111111111,0.24561005146836207,0.6354537976418975,,0.39201877934272295
0.9370370370370371,0.3102482591583409,0.6231148889498218,,0.39436619718309857
0.6666666666666666,0.3929003935815925,0.7163421990677269,,0.3685446009389672
0.4888888888888889,0.5149106872540115,0.7839776985650305,,0.39319248826291087
0.4222222222222222,0.580230093854072,0.8097980074947445,,0.4377934272300469
0.3703703703703704,0.5719800181653043,0.8015720683666941,,0.48708920187793425
0.24074074074074073,0.5775809869815319,0.8260213874417329,,0.4823943661971831
0.1962962962962963,0.5808356039963669,0.8241934009688328,,0.4694835680751173
0.12222222222222222,0.5671359370269452,0.7798647290010055,,0.4284037558685446
0.3037037037037037,0.5470027247956403,0.7567863997806418,,0.4507042253521127
0.5814814814814815,0.503178928247048,0.7295951009962527,,0.44366197183098594
0.8333333333333334,0.34869815319406605,0.6247143771136093,,0.41314553990610325
0.3037037037037037,0.2535573720859824,0.5931816104560826,,0.3908450704225352
0.4407407407407407,0.23342415985467757,0.6130609633488712,,0.3380281690140845
0.5407407407407407,0.22479564032697547,0.6400237638241477,,0.3333333333333333
0.26666666666666666,0.1712079927338783,0.6142034548944337,,0.3509389671361502
0.14074074074074075,0.1859673024523161,0.5383420162690796,,0.3333333333333333
0.2518518518518518,0.23304571601574328,0.5586783657800933,,0.3215962441314554
0.2592592592592593,0.2580230093854072,0.528745087286354,,0.34037558685446007
0.2296296296296296,0.23841961852861035,0.47550498126313856,,0.34507042253521125
0.3111111111111111,0.22078413563427185,0.299104286628279,,0.352112676056338
0.2111111111111111,0.19709355131698456,0.2922493373549036,,0.30868544600938974
0.43703703703703706,0.2197244928852558,0.3658257928891326,,0.2605633802816901
0.4185185185185185,0.24613987284287012,0.5358285348688419,,0.21713615023474178
0.6074074074074074,0.40508628519527695,0.7122292295037018,,0.2699530516431925
0.8851851851851852,0.5098395398122919,0.7426195046156658,,0.25704225352112675
0.8111111111111111,0.5258098698153194,0.7179416872315144,,0.2652582159624413
0.8296296296296297,0.48834392976082347,0.6530481674435609,,0.24647887323943662
0.862962962962963,0.4470935513169846,0.6539621606800109,,0.30868544600938963
0.6851851851851852,0.5007568876778685,0.600036559729458,,0.35328638497652587
0.6962962962962963,0.5250529821374508,0.5840416780915821,,0.32981220657276994
0.5,0.5266424462609749,0.5655333150534686,,0.3333333333333333
0.562962962962963,0.49038752649106876,0.5758157389635318,,0.30633802816901406
