,南部,中部,北部,東部,全台
0,0.0037996257841316798,0.0077918842267041275,0.004356361486824965,0.006454618964487367,0.0053085517088326435
1,0.0037573929233156948,0.0075729079040958705,0.004213695234010323,0.006229125219589242,0.0051944489932684666
2,0.0037505761574697307,0.007347839557541052,0.003988773219934018,0.006059681389284159,0.005090274318256777
3,0.003748985773920166,0.007201283278940993,0.003767538914950877,0.005972482195586898,0.0050213365366298494
4,0.0037855215366021785,0.007060461568777225,0.0036151562922082836,0.0058377991313025195,0.004946334689719815
5,0.0037876792121235635,0.007054715336937837,0.0036500712343438273,0.005849315227949152,0.004933239357323977
6,0.0036942638904805753,0.007139289347238203,0.003726883173605641,0.005851926912236812,0.004919904546667563
7,0.0029686084502443936,0.006426429051069594,0.003927804727971615,0.00506560338348209,0.00449132372463695
8,0.002140238287605641,0.005057199206621082,0.004180727269274503,0.00400154240385058,0.003821226204781754
9,0.001780192372322119,0.004157833377485834,0.004228607423617053,0.0032511518096067604,0.0034346480419394374
10,0.0015820106873626458,0.003724909706784042,0.004173996184409141,0.0028732941563092695,0.003189863434381874
11,0.0015242856082182414,0.003589513650156901,0.00416331646696757,0.0027580443504806344,0.003118861805070255
12,0.0015684224505838795,0.0036234449366599726,0.004164471321372139,0.002849167072064016,0.003150634287081042
13,0.0016887144213985775,0.003843176222395303,0.004170594072071871,0.0031082487104627183,0.003266402673705123
14,0.0019194656793635261,0.004245076428597909,0.004180816237434968,0.003513044005030406,0.0034837771725832463
15,0.002431535534975888,0.005092576056339646,0.0042359883029442725,0.004263503446724531,0.003967676379954537
16,0.0032924651002602806,0.005854275439419471,0.0043228345794243325,0.004898055814231137,0.004515968914857067
17,0.003768425654397321,0.005569273966729864,0.004359831889224794,0.004696886248392937,0.004585895255445457
18,0.003776807394792288,0.006231257821488316,0.0043939986643021164,0.00514298989393489,0.004825770531783861
19,0.0037779012476763054,0.006864829762489539,0.004431928544748028,0.005607443110997114,0.005055153082735378
20,0.0037781122013424468,0.007108623333535655,0.004482440006357078,0.0059621919455663435,0.005176413609151356
21,0.0037845189461621687,0.007599281605418031,0.004465560745744104,0.006468099109524727,0.005379408269446889
22,0.00369818567169389,0.007734621237658797,0.00442751016845389,0.006588503874713939,0.0054108124751385545
23,0.0035485022169419373,0.007734091968478447,0.00417925243118296,0.0064328124379495364,0.005289939757809279
24,0.003601951577427187,0.00786284418821232,0.0038223415094774233,0.006463636918373173,0.005300258460034883
25,0.0036626736792732357,0.007629259332767919,0.0035381134871570906,0.006250768247961508,0.005202722088432452
26,0.0036944943550527164,0.007261870514882386,0.0034461896899915566,0.005984356542250141,0.005085953162261122
27,0.0036960347298906544,0.006978737972502823,0.0035715709857709332,0.005795838787371672,0.00503346802243266
28,0.0037178489729219784,0.006910515150776072,0.0037593135972259274,0.005770488562910254,0.005064091731659899
29,0.003675537154112796,0.006907499509639801,0.003851751483174217,0.005762907395769954,0.005049200732575715
30,0.0037188479646421057,0.006911102452949814,0.0037723343246125756,0.0057339489769180334,0.004955439744596342
31,0.003034066954462244,0.0062144362101765865,0.004078772080028107,0.005168911372611336,0.004557659250817857
32,0.0023077271983316027,0.004846670299491024,0.004340202629075761,0.0041786490808603605,0.003964384275393598
33,0.0019166525970771616,0.004081027261619442,0.004385935897799121,0.003552521289997277,0.003583619725403241
34,0.00171816790482548,0.003551682163083144,0.004257890248735675,0.002916667315498476,0.0032653142543266414
35,0.0016893976693123293,0.004048353854894705,0.004596680956995597,0.0035781917841202016,0.003513818399675376
36,0.0016356092338525275,0.004359586769511441,0.004799484317218657,0.004334599640186456,0.003691443426428331
37,0.0018745862698582995,0.004848359464839814,0.004969633995544866,0.004166908813803702,0.003951550664276826
38,0.002149496109574817,0.004270032846070323,0.004998014006652506,0.0034502169241121773,0.003910712795037825
