,南部,中部,北部,東部,全台
2025-03-01 00:00:00,392.19229180884025,587.1838734125174,467.69869087299963,477.14099932702385,485.5085361659445
2025-03-01 01:00:00,390.2905585302004,625.6453158507916,466.51567648047336,500.4130738485135,499.54102749665265
2025-03-01 02:00:00,390.9271193821744,640.4100561671414,456.3765610181105,508.6388208587471,506.35808598231847
2025-03-01 03:00:00,390.9820655188783,641.5717593007187,446.73082484588946,508.86275271400604,508.06520975335127
2025-03-01 04:00:00,391.7285664094074,640.1082285455154,469.551425876329,509.44292920083893,509.4798035342182
2025-03-01 05:00:00,392.43144339739445,636.0630963661234,485.74014794001863,505.6084448033328,508.37552707760904
2025-03-01 06:00:00,387.31841022103805,630.1924143589501,486.8056721976437,503.4412883624755,505.2397177016783
2025-03-01 07:00:00,335.16513789769823,582.7564209148803,474.0345629862106,462.5816145442145,468.61007164277237
2025-03-01 08:00:00,237.1282396171613,472.7803838251033,466.2937178491385,367.2708242828303,389.2075387496314
2025-03-01 09:00:00,198.29543129020286,383.2590473670633,461.78719636398125,289.73531920564494,337.4146865797453
2025-03-01 10:00:00,178.29260818338508,309.79164936194854,452.91896933040306,240.9481532260192,300.76749636654364
2025-03-01 11:00:00,168.87859708261934,271.98463572972366,438.5047351744511,220.13671615432733,279.7270367183095
2025-03-01 12:00:00,166.09630468585922,267.8971566021293,438.3924644150928,218.60114742880043,277.2596793342234
2025-03-01 13:00:00,172.72151876544345,301.4336258650912,447.26343477506003,247.18940559357375,295.78819275606924
2025-03-01 14:00:00,186.47986820549878,332.1738030114112,458.14764125293027,279.0343961533815,315.41693732857595
2025-03-01 15:00:00,213.77363318550192,385.9179845003594,461.8442721991376,329.3390474509989,351.732717635674
2025-03-01 16:00:00,267.32320559345385,468.02307600401707,468.6543595277909,398.207542957866,403.3638896088972
2025-03-01 17:00:00,358.4189890423907,531.5589922521068,472.44015392898007,446.2792143472465,457.824421414552
2025-03-01 18:00:00,396.6309642305993,523.2161393104316,474.023563568415,425.29100653440895,467.07825020922576
2025-03-01 19:00:00,393.32908966349765,510.4455969838974,470.88072742160466,414.9294669609713,460.46470275519994
2025-03-01 20:00:00,391.57810708502814,509.80242309186133,470.55574476121495,414.7731296289609,459.9276827219909
2025-03-01 21:00:00,391.8564240119291,527.5989127324831,470.6851990906992,426.7223742999246,466.5186245746053
2025-03-01 22:00:00,391.0128340366974,532.9712204286014,471.99077650025856,429.0216885806555,468.7023450830869
2025-03-01 23:00:00,390.5204920520773,535.6739360101463,467.622341966081,423.83053592234137,465.8802464690338
2025-03-02 00:00:00,390.8842434904009,560.5736575173376,465.0752248631253,461.11135793053654,474.01929266272316
2025-03-02 01:00:00,389.848328118742,584.5862756586808,457.7951481570456,484.5694304931467,482.1046992191351
2025-03-02 02:00:00,389.35085952569443,598.8931998914899,451.02805834570137,492.12029149420636,488.67671973786
2025-03-02 03:00:00,390.6115812578884,607.1844042139686,445.8499051780439,496.6612665363528,492.31709823550966
2025-03-02 04:00:00,391.3114844886814,625.1355504813289,456.97294878844883,509.5316625880474,502.7532128431684
2025-03-02 05:00:00,392.1867334056148,616.8570724481813,479.7401997903951,504.05812652994786,501.03355845886136
2025-03-02 06:00:00,388.75767722849594,599.7737961972571,483.2233782230104,493.11751389102466,495.3083355011964
2025-03-02 07:00:00,300.98618203109277,556.8178519428673,479.0387423395829,444.6708674101592,446.9953189301061
2025-03-02 08:00:00,279.66420737147655,471.0434800620025,466.3904930412789,375.3046130469395,408.32447519750303
2025-03-02 09:00:00,194.58253296679382,386.93525174788965,458.25730463440743,289.87985720056975,332.47126057469995
2025-03-02 10:00:00,192.71981899501202,312.1764361710355,453.2742683548986,239.63103389651306,306.35035641729814
2025-03-02 11:00:00,169.52686980180545,302.2409807348809,447.40186324421387,234.30840578573594,292.67538549243545
2025-03-02 12:00:00,167.57152494041387,284.7471394446048,449.25921230480856,213.8465603076652,287.304877304682
2025-03-02 13:00:00,181.24995424180585,323.43394525615435,456.28287077387847,243.5745534736674,309.9981410919159
2025-03-02 14:00:00,196.86423179158223,367.9203713115515,465.34805209050955,290.25296932604476,339.3206784192041
2025-03-02 15:00:00,211.08662630311224,421.2564507317766,473.82354294294174,344.67931532618894,368.38137374627956
2025-03-02 16:00:00,265.64441579992877,513.4521739813,495.41489016790734,422.2900901764807,430.5574747866163
2025-03-02 17:00:00,358.42482147726804,567.2949947818422,496.65417847479887,473.44578639862794,478.7913672950844
2025-03-02 18:00:00,401.238756626818,524.9485553124861,488.68505914466226,420.86506310423914,472.90811791159115
2025-03-02 19:00:00,401.15850484180635,528.4564073624946,488.99709099146236,410.2090564604251,474.1119635571496
2025-03-02 20:00:00,400.25411825846595,542.2817673429734,475.9148213600404,418.8884338703987,475.6113750689975
2025-03-02 21:00:00,397.05007277624026,558.1362608180698,470.1267695360108,424.63082333721053,478.6625599412805
2025-03-02 22:00:00,392.5902465482341,553.1188941154078,465.56045143005645,417.7379898801924,473.7809990219154
2025-03-02 23:00:00,391.1365305763241,579.9967024227595,458.98235823241623,447.7786842475997,478.7091538475291
2025-03-03 00:00:00,390.45978029502663,618.1280227446802,460.5841510167276,492.1473509031626,492.75236260917535
2025-03-03 01:00:00,390.6239262510946,621.4746252772844,447.49438047921467,494.26534406164416,495.92410657643626
2025-03-03 02:00:00,391.35682006603014,609.7663631922863,455.92165387236645,485.31821418564476,496.40094165491274
2025-03-03 03:00:00,391.8609229687604,617.0467353446932,449.6425793224587,491.59683059801307,499.25187477437015
2025-03-03 04:00:00,391.4764384276101,623.8649479017706,428.39459187057287,509.5217034551098,495.0050358113671
2025-03-03 05:00:00,391.9301301942694,633.7503409253428,407.8053795918028,518.037419065601,489.2194907624135
2025-03-03 06:00:00,386.71472482439566,656.0801583549379,406.81254978316645,536.0714686753383,485.43872463394234
2025-03-03 07:00:00,353.45606524333664,618.4513076540752,417.4906477145365,501.8376134124042,463.5661836803937
2025-03-03 08:00:00,262.4074419526567,533.5754162607413,413.1282298524508,435.73613923012454,402.21367721711056
2025-03-03 09:00:00,230.00166749959234,454.1258680329841,404.8807753236561,364.55172258818595,360.3730104008068
2025-03-03 10:00:00,191.3398397164742,356.8397676171235,396.26847794347344,294.54192156138794,313.5195199589048
2025-03-03 11:00:00,183.78369042400013,351.2477770965093,404.5146616182399,285.1139892706248,311.15610763793336
2025-03-03 12:00:00,214.78448553975747,360.7384478845858,414.57004952966395,295.17158922235194,332.3081881864395
2025-03-03 13:00:00,248.5288929474914,407.1128706580427,421.12454951014394,342.7613464492646,364.33167659090094
2025-03-03 14:00:00,198.42572819010957,400.14948691067514,414.25930177398305,354.01493535907656,339.2672101943614
2025-03-03 15:00:00,237.08067589182335,416.9511172361367,416.12921851874904,363.9257237036389,360.1135946695128
2025-03-03 16:00:00,298.7070838482405,468.05249550271236,436.6969883262764,406.998866938514,404.45909786476125
2025-03-03 17:00:00,376.54659333790283,480.1403204511412,444.68488494223476,408.0006270282233,435.2743077718448
2025-03-03 18:00:00,397.5938186459159,475.95795972247436,480.7446883146915,372.77794359072675,452.12656363160204
2025-03-03 19:00:00,397.7547888620478,503.6823055563573,489.4550497168455,388.06212482873457,464.03962537364873
2025-03-03 20:00:00,398.63575167757836,517.2588523037077,452.23356588574745,400.2975451808692,455.34206110447104
2025-03-03 21:00:00,398.829500491912,551.8173035570946,416.485461811129,420.7812604030782,453.27059708404784
2025-03-03 22:00:00,396.74976512527445,589.3153139214621,385.51684416152176,445.28173415266434,454.486299265366
2025-03-03 23:00:00,392.0664347332154,579.2886393725892,374.6665278286822,493.85015177722227,453.0986848646083
2025-03-04 00:00:00,393.14434872058007,573.0216537970539,389.72603644055437,483.8138549679821,461.0691511644226
2025-03-04 01:00:00,392.869952863981,605.2961530130626,393.6352864579312,498.38706413925274,476.99726339396943
2025-03-04 02:00:00,393.8349624238593,609.0572612559445,393.72327049730745,501.81192616164805,485.31284969808075
2025-03-04 03:00:00,392.2977125858938,618.711692000294,384.81761513748216,507.71436694113817,489.38165931908736
2025-03-04 04:00:00,391.613004066089,622.5281627255971,373.7277666047385,512.0850398410229,481.726832191577
2025-03-04 05:00:00,392.06373709726864,613.8155735116018,353.545005901398,509.8087577244639,471.35119711027926
2025-03-04 06:00:00,389.2082645930839,614.3077693063094,333.48161069433934,510.13071966867795,459.68655401229165
2025-03-04 07:00:00,334.48861087386877,600.2807585745068,365.75081087273395,473.04879388775106,439.1276896119664
2025-03-04 08:00:00,266.2551014927297,491.4075419598187,403.60166742814374,361.34771373417476,387.22765091426334
2025-03-04 09:00:00,205.43066744006447,412.94142602571355,403.9108905753061,301.84583338325854,338.1382682385172
2025-03-04 10:00:00,198.5879226824208,365.1980841937918,388.46626349087313,271.3565627508454,317.4701861890723
2025-03-04 11:00:00,208.2986849892737,318.217256159664,389.05347467147993,235.2554399472684,307.35093506261336
2025-03-04 12:00:00,175.94771573808146,314.65998288520683,402.9303772576009,226.5707476949618,291.64188426980166
2025-03-04 13:00:00,194.16383095210224,313.3651842033708,399.5698230525689,245.8801458793357,298.1747441813498
2025-03-04 14:00:00,226.69009277187018,377.07370413338685,390.36923275478546,310.11658215271325,333.2026681539986
2025-03-04 15:00:00,276.97154568001275,415.8377461655169,394.669345666197,341.1148861688926,364.8938287606018
2025-03-04 16:00:00,334.3657546351461,470.0434245627808,412.45525188298296,390.19131907043334,406.2694571997104
2025-03-04 17:00:00,398.2839381792715,472.8310816487906,413.6008643808093,401.04337692156747,427.40845373215217
2025-03-04 18:00:00,395.85767441806905,510.65288496068655,461.6207593604329,425.1720333879523,455.2512308855003
2025-03-04 19:00:00,393.49941751339395,512.4995959179686,487.4029992997586,427.28628384735106,466.11606955700245
2025-03-04 20:00:00,393.7994893670434,515.6349763558393,486.9649224482963,428.40061099002054,467.05776060323353
2025-03-04 21:00:00,393.41443408347527,545.9303051166322,403.67020527384324,447.9232612348024,446.53182391716615
2025-03-04 22:00:00,392.0740251091447,607.6040894419622,374.8040365567366,480.0581828520544,453.51865712495686
2025-03-04 23:00:00,392.1188565222901,665.854556560908,362.56644395856955,495.3884706050759,464.5648196111417
2025-03-05 00:00:00,392.619340282416,623.9734234987316,370.9902502064186,463.51514437351057,466.36493778876707
2025-03-05 01:00:00,392.3892456116204,641.4330664526153,390.10100313529557,472.5783737224813,480.9917450838564
2025-03-05 02:00:00,392.9619521867641,632.420252220438,381.49314222245357,462.40838881250073,478.52765106756715
2025-03-05 03:00:00,390.7602181245566,574.9334019789497,398.85030643521566,431.57366651561716,462.5455196010241
2025-03-05 04:00:00,388.0864512722133,491.5941747128063,420.3546024508972,383.0657710052165,437.82014041442966
2025-03-05 05:00:00,388.72683909979503,517.1803904204907,389.0130386483631,406.7195452375717,435.02229451891213
2025-03-05 06:00:00,385.24144321468077,474.6461620935961,368.4061212213269,378.63506207694894,409.2167696114544
2025-03-05 07:00:00,328.16241484626255,449.99711962683324,366.57734969346853,353.24027984892126,381.3336020069938
2025-03-05 08:00:00,246.62447982633648,387.3520242959975,369.0555332802825,305.2080084421568,333.51443330559164
2025-03-05 09:00:00,189.23980097172424,327.42310199151655,363.7752078995781,262.04260088461245,292.7823565901896
2025-03-05 10:00:00,175.1944318291596,287.19915617179214,357.02374286528425,209.71560474367433,273.74888584195423
2025-03-05 11:00:00,191.4506396230859,303.54492422051356,373.3525652700685,236.6018516901635,291.86275090015283
2025-03-05 12:00:00,179.70297719453544,317.0240278754844,380.3357168052078,264.31608375550263,293.79991608586573
2025-03-05 13:00:00,197.33898341609114,336.858392614803,376.74152590589074,232.46358866652332,306.55806396295606
2025-03-05 14:00:00,180.99178536327213,347.255041093468,371.31810988862077,227.63310160903163,299.7274159163542
2025-03-05 15:00:00,214.1999467768521,333.41553118725597,362.3656604080042,212.1478918294536,306.5369301419553
2025-03-05 16:00:00,271.11930126841287,380.6975490807412,367.56565640627167,267.86185617335303,342.19882445872724
2025-03-05 17:00:00,347.7205508652328,417.22704121091505,370.4403413555631,299.26313592303785,376.7366404595571
2025-03-05 18:00:00,388.6152617355032,395.6390638503692,369.0478174438404,273.4654181424329,380.7913585985377
2025-03-05 19:00:00,387.4046513023998,391.5436853913018,367.86522037341484,224.72827221053643,377.576311714955
2025-03-05 20:00:00,388.6207714037151,415.68763780552763,369.9166139406094,244.59234912381973,385.5409335270394
2025-03-05 21:00:00,389.2760893515272,407.8949609601529,368.80171889923395,255.37609737809814,383.31325443714724
2025-03-05 22:00:00,389.34727016138356,408.4511563789263,370.08830863054527,284.02012935565966,384.8115388390905
2025-03-05 23:00:00,387.83720263326353,412.5540942889415,370.35530869405886,284.8498661588748,386.0672497386296
2025-03-06 00:00:00,387.7846466016433,423.0231836224782,389.90410986662056,282.13911421176516,397.17049910094624
2025-03-06 01:00:00,388.2291019579422,428.0330438522099,410.3368230444266,291.1645382670246,406.5934720123685
2025-03-06 02:00:00,390.0964241990161,427.8885540129451,413.79685023982034,295.72347693841664,408.9041043498831
2025-03-06 03:00:00,390.4793127563208,435.37486908971294,412.498527497121,302.4946092872189,411.9166260070125
2025-03-06 04:00:00,390.5731645018159,427.9506601684991,410.0107613556803,305.1026063183966,408.6294348605539
2025-03-06 05:00:00,390.26538494555854,430.8950764759296,388.7870677138764,309.9644512864398,402.9374568536105
2025-03-06 06:00:00,389.62557424589824,413.949088010029,364.610982737294,329.49121328853005,388.1460785141129
2025-03-06 07:00:00,368.6916534759602,401.5415324063235,364.2202304060632,333.6358482500092,377.5017001221931
2025-03-06 08:00:00,303.7006813211929,380.02063873589896,367.0314742053954,279.1201538404321,350.15538202475796
2025-03-06 09:00:00,308.2060523827156,367.4225738489504,370.8302374534801,287.23284231615787,349.3901424528185
2025-03-06 10:00:00,348.5830344872272,355.4455415623894,369.4320539963187,272.481400292105,357.3777649457919
2025-03-06 11:00:00,288.93849654848134,346.8227232170231,376.7869383614733,227.68282656441153,337.3154682244142
2025-03-06 12:00:00,263.66227770894994,380.495583135632,385.5989433850021,246.3774407272459,343.7003091670857
2025-03-06 13:00:00,244.9581940396943,406.73116049030983,384.3667260215014,278.37182175432645,347.84993538236336
2025-03-06 14:00:00,223.44519713100667,406.1447058648031,377.62900709388896,297.1865405572028,342.03635779709106
2025-03-06 15:00:00,221.23359318407708,409.5850897444817,383.0300095003155,308.81385662698415,339.310280344975
2025-03-06 16:00:00,285.39084261657587,408.4590050913932,379.05574856177685,343.29384872178986,358.63292027055473
2025-03-06 17:00:00,371.9574172698104,380.9447398695203,379.58296582029993,348.40273635346705,377.3018210973365
2025-03-06 18:00:00,387.7442738694425,332.7121429767289,418.5096280314304,278.4920034690245,380.0751517704498
2025-03-06 19:00:00,389.0766140223795,318.49714516820205,409.3925586389686,259.84911567277913,372.44318615785943
2025-03-06 20:00:00,390.2337148910325,347.33522676392727,364.11366180327906,274.5293849038172,364.21003200349713
2025-03-06 21:00:00,390.8097136531937,355.96591129159935,364.2081458072368,280.1423926910103,366.9813252025874
2025-03-06 22:00:00,388.1870535389743,372.36863543222984,367.24661590123475,310.74579489916846,372.79339082307285
2025-03-06 23:00:00,388.3528319602465,378.4664755856881,370.4832357223581,314.52009823782817,376.45919008576794
2025-03-07 00:00:00,389.5779668486476,385.9910780561354,390.43621139562157,319.8126652853971,387.3698415634724
2025-03-07 01:00:00,388.7630294573252,390.6408004276484,412.50746487594273,324.63862292809546,396.96584631962344
2025-03-07 02:00:00,388.8608483938551,393.6305175768132,419.2234775312351,326.42954935118865,400.4919772659763
